"word","freq"
"освіт",688
"студент",607
"наук",589
"кафедр",419
"навчанн",373
"технолог",333
"робот",321
"математик",314
"професійн",311
"університет",282
"факультет",268
"природнич",254
"педагогічн",225
"доцент",208
"викладач",200
"спеціальност",191
"освітн",185
"інформац",179
"середн",178
"україн",177
"учн",176
"імен",168
"технологі",155
"груп",153
"методик",151
"учасник",151
"практик",150
"науков",146
"інформатик",145
"професор",144
"заклад",141
"проєкт",140
"технологічн",133
"володимир",129
"державн",129
"заход",128
"команд",126
"вищ",125
"інформаційн",121
"участ",118
"винниченк",116
"доктор",113
"денис",111
"цікав",106
"курс",103
"сучасн",102
"зустріч",95
"підготовк",91
"навчальн",91
"майбутн",89
"нов",89
"досвід",88
"зокрем",88
"різн",88
"кропивницьк",88
"активн",85
"прогр",85
"вчител",85
"школ",85
"процес",85
"розвитк",85
"здобувач",82
"надан",82
"особливост",80
"кандидат",80
"центральноукраїнськ",78
"цду",78
"практичн",77
"підготув",76
"питанн",75
"робототехнік",75
"област",74
"цифр",73
"присутн",73
"діяльност",72
"систем",72
"співпрац",72
"конкурс",72
"студентськ",70
"відбул",69
"тем",69
"можливост",69
"використанн",68
"семінар",68
"академічн",67
"українськ",67
"національн",67
"допомог",67
"павлюк",66
"компютерн",66
"кіровоградськ",66
"галуз",65
"можливіст",65
"ознайомил",64
"березн",62
"керівник",62
"перш",61
"мет",59
"баз",59
"знанн",58
"отрим",58
"молод",57
"проф",57
"завданн",57
"формуванн",57
"програм",57
"олен",57
"власн",57
"тетян",57
"проблем",56
"конференці",56
"проведенн",56
"міськ",56
"рівн",55
"квітн",55
"стал",54
"підвищенн",53
"діт",53
"створенн",52
"матеріал",52
"натал",52
"провел",52
"актуальн",51
"завідувач",51
"клас",51
"дан",50
"умов",50
"мрі",50
"раз",49
"оксан",49
"відвід",48
"виробнич",48
"ліце",48
"фізик",48
"міст",47
"навичк",47
"обговоренн",47
"олександр",47
"сфер",47
"житт",46
"перспектив",46
"засіданн",46
"економік",46
"людмил",46
"кіберполіці",46
"цтб",45
"дослідженн",45
"результат",45
"подальш",44
"випускник",44
"технічн",44
"гендерн",44
"взял",43
"електронн",43
"міжнародн",43
"спільн",43
"програмуванн",43
"центр",43
"дпедн",42
"дисциплін",42
"підготувал",42
"доповід",42
"декан",42
"виступ",42
"форм",42
"місц",42
"мал",41
"кваліфікаці",41
"творч",41
"меж",40
"організаці",40
"основн",40
"захід",40
"гост",40
"менеджмент",40
"kroprobots",40
"задач",40
"управлінн",39
"реалізаці",39
"труд",39
"забезпеченн",39
"фахівц",39
"цифров",39
"відкрит",39
"член",38
"робіт",38
"старш",38
"долучил",38
"проведен",38
"ма",38
"микол",38
"відбув",38
"технік",38
"коледж",38
"спікер",37
"годин",37
"уваг",37
"важлив",37
"ольг",37
"представник",36
"дистанційн",36
"модел",36
"садов",36
"безпек",36
"директор",36
"ім",36
"особлив",35
"ірин",35
"навичок",35
"розробк",35
"метод",35
"комунальн",35
"частин",34
"вивченн",34
"етап",34
"велик",34
"працівник",33
"людин",33
"успішн",33
"загальн",33
"мистецтв",33
"вироб",33
"трифон",33
"дня",33
"засоб",33
"математичн",33
"напрямк",32
"здоров",32
"ден",32
"програмн",32
